i,j,weight,stability
Llama-3,Qwen2.5,0.0723420794934289,0.124
Mistral-Small-3,Phi-1,0.06847129120335195,0.12
Llama-3.1,Qwen3.5,0.07743520508443594,0.12
Gemma-1,Qwen2,0.0775927223649313,0.12
Gemma-2,Mistral-Small-3,0.076379673030353,0.12
Gemma-4,Qwen3,0.0743266856001077,0.12
Ministral-3,Phi-3,0.0683479181359417,0.12
Phi-1,Phi-3.5,0.07258415120576647,0.12
Mistral-7B,Mistral-Medium-3.5,0.076476646154419,0.118
Mistral-Small-4,Qwen3.6,0.06299927630770738,0.118
Llama-2,Qwen2.5,0.06853695646616234,0.118
Gemma-3n,Mistral-Large-2,0.07023026311465855,0.118
Phi-2,Phi-4-reasoning-vision-15B,0.07721300163076109,0.116
Phi-1.5,Phi-4,0.07728445848717654,0.116
Llama-1,Ministral-3,0.06969634237632849,0.114
Mistral-Large-2,Qwen2.5,0.07056932849969158,0.114
Mistral-Large-3,Phi-1,0.06064710035538696,0.112
Mistral-Large-2,Qwen3.5,0.07522502089444631,0.112
Phi-1.5,Qwen2.5,0.07046651326466942,0.112
Llama-1,Qwen3.6,0.06447400266590537,0.112
DeepSeek-V3.1,Gemma-3,0.0779880305427947,0.112
Llama-1,Qwen1.5,0.0661608601190753,0.11
Llama-2,Mistral-7B,0.07399825515267225,0.11
Llama-2,Qwen3.5,0.07200568643268274,0.11
Gemma-2,Phi-4-reasoning-plus,0.07702443571509483,0.11
Llama-4,Qwen3.6,0.06635391820840203,0.11
Mistral-Small-3.1,Qwen3.5,0.07684655441161413,0.108
Mistral-Small-3.1,Mixtral-8x22B,0.06845863480464717,0.108
Gemma-2,Phi-3,0.0631840616394484,0.108
Gemma-4,Phi-1,0.06616073581222362,0.108
Phi-3.5,Qwen-7B,0.07187281484609047,0.108
Mistral-Small-3,Phi-1.5,0.07204861749201673,0.108
Phi-1.5,Phi-3,0.06688089588557874,0.106
Gemma-4,Phi-4-reasoning-plus,0.07420103801769878,0.106
Mistral-Medium-3,Phi-3.5,0.06795449422278461,0.104
Mistral-Small-2,Mixtral-8x22B,0.06445191993058705,0.104
Mistral-7B,Qwen3.5,0.07404241233655587,0.104
DeepSeek-V3.2,Phi-1.5,0.07087064247682981,0.104
Devstral-2,Mistral-Large-2,0.07588222967397835,0.104
DeepSeek-V3.2,Mistral-Small-3.2,0.06890069062948838,0.104
Llama-3.1,Qwen3.6,0.06668297238672273,0.104
Mistral-Small-3,Qwen-7B,0.07204327126516344,0.102
Mistral-Medium-3,Qwen2.5,0.06395075621179629,0.102
Mistral-Large-3,Qwen3.6,0.06087874214322041,0.102
Gemma-1,Mistral-Small-3,0.08140928156376627,0.102
DeepSeek-R1,Mistral-Large-3,0.06411061733708052,0.1
Mistral-Small-2,Qwen1.5,0.06398466914515528,0.1
Llama-4,Mistral-Small-2,0.06487110252682822,0.1
Qwen1.5,Qwen2.5,0.06734098737586323,0.1
Mixtral-8x7B,Phi-3,0.0659893197948427,0.1
Llama-1,Phi-4-reasoning-plus,0.06379041571983343,0.1
Gemma-4,Phi-2,0.07592499300023338,0.098
Mistral-Medium-3.5,Qwen-7B,0.07028570677979304,0.098
DeepSeek-V3.1,Llama-3.3,0.07420083492098122,0.098
Llama-1,Llama-3,0.06490329097185427,0.098
Llama-3.1,Mistral-Small-3.2,0.07156702610540681,0.098
Gemma-4-12B,Llama-4,0.07257072492184535,0.098
Mistral-Small-3.2,Qwen2,0.06484951646336286,0.098
Gemma-4-12B,Mistral-Large-2,0.0696553261798001,0.098
Devstral-2,Phi-3.5,0.07939614348277721,0.096
Phi-2,Qwen2.5,0.06766018369197306,0.096
Mistral-Small-3.1,Qwen2,0.07262236680393576,0.096
Gemma-4,Mistral-Medium-3.5,0.07199928451039667,0.094
Gemma-1,Qwen-7B,0.07356104917085886,0.094
DeepSeek-V4,Mixtral-8x7B,0.0675509134578308,0.094
Devstral-2,Llama-4,0.07859625649908634,0.094
Mistral-Small-2,Mistral-Small-3,0.06141598464899502,0.094
Devstral-2,Llama-1,0.06523775002271058,0.094
Gemma-4,Mistral-Medium-3,0.06505870645013487,0.094
Gemma-3n,Mistral-Large-3,0.060606473749525554,0.092
Qwen-7B,Qwen1.5,0.07113976934424217,0.092
DeepSeek-V3,Qwen3.6,0.06213743721138173,0.09
Mistral-Medium-3.5,Mistral-Small-2,0.061199468447783775,0.09
Mistral-Medium-3,Qwen3,0.06261472874804244,0.09
Phi-2,Qwen3.5,0.07002833491482606,0.09
DeepSeek-V4,Mistral-Small-3.2,0.06000423299625833,0.088
Mistral-Medium-3,Mistral-Small-4,0.06080229497076288,0.088
Llama-3,Phi-4-reasoning-vision-15B,0.08007661178540205,0.088
Gemma-3n,Llama-3.1,0.06919299902097592,0.088
Gemma-4,Qwen-7B,0.0743266856001077,0.088
Phi-4-reasoning-vision-15B,Qwen2,0.07206407954067687,0.086
DeepSeek-V3.1,Qwen2,0.0724270795528023,0.086
Qwen2,Qwen3.5,0.07055304463097083,0.086
Llama-3,Mistral-Small-4,0.06141554257573472,0.086
Llama-2,Qwen3.6,0.06608516608819506,0.086
Mistral-Small-3,Qwen3,0.06802781707988553,0.086
Gemma-4,Qwen3.6,0.06757814877984346,0.086
Llama-3.3,Mixtral-8x7B,0.07164502141203347,0.084
Mistral-Small-4,Phi-3.5,0.06454159750088782,0.084
Mistral-Small-4,Mixtral-8x22B,0.06228881797616824,0.084
Ministral-3,Qwen2.5,0.0624305470160731,0.084
Phi-1,Phi-4-reasoning-vision-15B,0.06501709459480956,0.082
Mistral-Small-2,Mistral-Small-3.2,0.05669140515788516,0.082
Llama-1,Qwen2,0.0645996697666121,0.082
Llama-1,Mistral-Medium-3.5,0.0631997658440781,0.082
Devstral-2,Gemma-4-12B,0.06953837555023105,0.082
Llama-2,Mixtral-8x22B,0.06291990953025244,0.082
Mistral-Large-3,Phi-3.5,0.06139198187870112,0.08
Gemma-4,Phi-4,0.07459424282119047,0.08
Mistral-Small-2,Mistral-Small-3.1,0.06253611296826697,0.08
DeepSeek-V3,Ministral-3,0.06412192939559197,0.08
Mistral-Small-3.1,Mistral-Small-4,0.06211343383642475,0.078
Llama-4,Mixtral-8x7B,0.07311494276605324,0.078
Phi-4-reasoning-vision-15B,Qwen3,0.07038861387879658,0.078
Mistral-Small-2,Qwen2,0.05852037883662818,0.078
Gemma-4-12B,Mistral-Medium-3.5,0.06548021591143677,0.078
Llama-3.2,Ministral-3,0.07638607250706464,0.078
Mistral-Small-4,Phi-4-reasoning-plus,0.06062318745488533,0.076
Qwen-7B,Qwen2.5,0.06478082561308442,0.076
Gemma-4,Llama-3.3,0.06535609263726579,0.074
Mistral-Small-3.1,Qwen1.5,0.07140982812978587,0.074
Mistral-7B,Mixtral-8x7B,0.07364820455691472,0.074
Gemma-2,Mistral-Small-3.1,0.07276377848620781,0.074
DeepSeek-V3.1,Phi-4,0.07542601568165405,0.074
Devstral-2,Qwen2,0.0709794700661246,0.072
Mistral-Small-3.1,Phi-4-reasoning-plus,0.06837808985807073,0.072
DeepSeek-V3,Phi-3.5,0.06433235106858783,0.072
Mistral-Large-3,Qwen2.5,0.05668289755908837,0.072
Gemma-1,Mistral-Small-3.2,0.06358001016848987,0.072
Phi-2,Qwen3,0.06319505647157612,0.07
DeepSeek-V4,Mistral-Medium-3,0.06059568275671915,0.07
Mistral-Medium-3.5,Qwen3,0.06426783728368507,0.07
Llama-3,Mistral-Large-3,0.062473796307945834,0.07
Mistral-Small-3,Qwen3.5,0.06755182124752293,0.07
Gemma-3,Llama-4,0.0729541699365492,0.07
Qwen2,Qwen3,0.06647875807771539,0.068
DeepSeek-V3.2,Qwen1.5,0.0674256815148562,0.068
Llama-2,Llama-3.1,0.06814667589656133,0.068
DeepSeek-V3.1,Mixtral-8x22B,0.06610420630026079,0.068
Gemma-2,Llama-3,0.07275488842174872,0.068
Gemma-3,Mistral-7B,0.07014382191763747,0.066
DeepSeek-V4,Gemma-1,0.06148600049839015,0.066
DeepSeek-V3.1,Phi-1.5,0.07475676791724792,0.066
Llama-3,Ministral-3,0.07474503787340993,0.066
Gemma-3n,Mistral-Small-4,0.058057945214095845,0.066
DeepSeek-V4,Llama-3.3,0.06217495837502848,0.066
DeepSeek-V3.1,Mistral-Medium-3,0.0639160515846781,0.066
Ministral-3,Qwen3,0.06793341042275818,0.064
DeepSeek-R1,DeepSeek-V4,0.0587647670425797,0.064
Phi-1,Qwen3.5,0.060235283317929,0.062
Gemma-2,Mistral-7B,0.07193109776183991,0.062
Gemma-3n,Mistral-Small-3,0.06422670554739889,0.062
Gemma-3n,Phi-4-reasoning-plus,0.0679437934385011,0.062
DeepSeek-V4,Llama-3.1,0.06294534998132463,0.062
DeepSeek-V3.2,Mistral-Small-3,0.06690257784657352,0.062
Phi-1,Phi-2,0.06279759109908077,0.062
DeepSeek-V3,Llama-3,0.05933300553788189,0.06
Llama-3.3,Mistral-Large-2,0.06629646493754027,0.06
DeepSeek-V3,Gemma-2,0.05994985128172072,0.06
DeepSeek-V3,Gemma-4,0.06250814606079765,0.06
DeepSeek-R1,Mistral-Small-4,0.06012429219639873,0.06
Phi-3,Qwen1.5,0.05887797655074144,0.06
Llama-3.3,Mixtral-8x22B,0.06323189642626602,0.058
Gemma-1,Phi-1,0.06437999638019884,0.058
Mistral-Large-2,Mistral-Medium-3.5,0.0649398647624697,0.058
DeepSeek-V3,Phi-1.5,0.05801546440296948,0.058
Llama-2,Phi-1,0.06118241553874846,0.058
Gemma-3,Llama-3.1,0.06605694979797733,0.058
Gemma-4,Mistral-Small-4,0.0578402917437408,0.056
Mistral-Small-3,Mistral-Small-3.1,0.07196135315373661,0.056
DeepSeek-V3.1,DeepSeek-V4,0.060546247043809766,0.056
Phi-3,Qwen3.6,0.05213136550126722,0.056
DeepSeek-R1,Qwen2,0.06300633438355366,0.056
Gemma-3,Phi-1,0.06440141408797692,0.056
Llama-1,Qwen3,0.053232239024523065,0.056
Mistral-Medium-3,Mixtral-8x22B,0.05802657972211261,0.056
Qwen2,Qwen2.5,0.05882801742477335,0.054
DeepSeek-V4,Qwen2.5,0.06005799558832019,0.054
Ministral-3,Qwen3.5,0.06525137867172187,0.054
Llama-3.1,Phi-1.5,0.072420620555449,0.054
Gemma-3,Mistral-Large-3,0.057047535890437,0.054
Phi-4,Qwen3,0.06579955234120383,0.054
DeepSeek-V4,Gemma-4-12B,0.06058163706649833,0.054
Mistral-Large-2,Qwen-7B,0.06504183445956485,0.054
Phi-1,Qwen-7B,0.05894444820229624,0.054
DeepSeek-V3,Llama-4,0.059433639639673706,0.054
Mistral-Large-3,Phi-1.5,0.055197242650235186,0.054
DeepSeek-V4,Gemma-2,0.058403844544258156,0.052
Mistral-Large-2,Mistral-Large-3,0.05827004471415125,0.052
Llama-4,Phi-4-reasoning-vision-15B,0.07200024712567667,0.052
Gemma-1,Ministral-3,0.07233881057295444,0.052
DeepSeek-V3.2,Llama-1,0.05982743875305298,0.052
Mistral-Small-3,Phi-3.5,0.06952951631133208,0.052
Mistral-7B,Mixtral-8x22B,0.06178757949341992,0.05
Llama-1,Phi-1,0.052628781884459394,0.05
Gemma-4-12B,Mistral-Small-3.2,0.06141072030463097,0.05
Gemma-1,Mistral-Small-3.1,0.07326685746743607,0.05
Mistral-7B,Phi-4-reasoning-plus,0.06918953238866175,0.05
Gemma-4,Llama-3.2,0.0670789399619634,0.05
Phi-4-reasoning-plus,Qwen1.5,0.06230975564318381,0.05
Mixtral-8x22B,Qwen3,0.059229252184083724,0.05
Phi-2,Qwen1.5,0.06351738325123493,0.05
