rep,scenario,s2_family,s2_era,s2_unique,share_family,share_era,share_unique,ci_family_low,ci_family_high,ci_era_low,ci_era_high,ci_unique_low,ci_unique_high,converged,n_convergence_warnings,llf
81,A,2.061153622438558e-09,0.0573182709519958,0.34863564599017133,5.0773093347614595e-09,0.1411940327924927,0.858805962130198,1.2682269376389766e-13,0.9999999999999717,7.667708379116897e-16,0.5606863788451043,2.1211272056702905e-14,0.9794605250318117,1,0,-3.394909925246452
82,A,1.0100868374595664,0.27651042805077575,0.23513157889680555,0.6637758370500544,0.1817080809547918,0.15451608199515385,0.29898450438320545,0.890573452014335,0.04163611765546911,0.47656554454441685,0.04788789799586445,0.3384011977050492,1,0,-9.565144776763278
83,A,0.25745572061985655,0.14554653259963454,0.39890622732149805,0.3210537447442506,0.18150017880026023,0.49744607645548916,0.07433732881965323,0.696530246473955,0.026302011256453713,0.6311042178340429,0.15044525765815026,0.7940542218914698,1,0,-12.792975377556928
84,A,0.7004062546071775,0.08100768589211453,0.40633044856149,0.5896944334639452,0.06820296238668994,0.34210260414936494,0.1948955237867869,0.8474934868117451,0.0036046687780490285,0.6062184607852092,0.08215504368168337,0.670061079429039,1,0,-13.703932237234241
85,A,0.2100082951502261,0.025016805188471828,0.26988631714224115,0.4159309690360768,0.04954691916709576,0.5345221117968275,0.06611671397294286,0.7268239272078244,0.00046850859836114033,0.8554291065883975,0.054272126316299324,0.8429009001082475,1,0,-1.1522701150923211
86,A,0.20866728359057635,0.09991971951536889,0.374928393966082,0.3052854178332247,0.14618503100792563,0.5485295511588497,0.0752886699153008,0.6728186802643703,0.0237796287001031,0.5259831782188837,0.19754358945784223,0.8176168785846116,1,0,-10.149166887451992
87,A,0.2110859632048543,0.2801085373785151,0.38648114568159286,0.24050566300107795,0.31914812558665084,0.44034621141227126,0.04568375169851189,0.6433647355861498,0.0846777916665812,0.6465649918895829,0.16078870374929113,0.7001975134833152,1,0,-14.256727235759682
88,A,2.061153622438558e-09,0.21798000454096972,0.229080331580142,4.610459587668077e-09,0.48758520030488556,0.5124147950846548,1.1701870050731836e-13,0.9999999999999718,7.831351250412515e-15,0.7444969383650271,1.393873265496769e-14,0.7581508189303829,1,0,0.2924399944278271
89,A,0.31578413827501545,0.17945188186565394,0.3377427945070234,0.37910224452536156,0.2154339086541509,0.40546384682048753,0.08123787037308863,0.7145307856986849,0.016767336492564528,0.7697198191919284,0.09816263930440416,0.7018875797727111,1,0,-11.026646574854563
90,A,0.9139338392066805,0.13134614628016553,0.47297841224265486,0.6019619852414021,0.08651106193556303,0.311526952823035,0.2503272202339524,0.851698237920834,0.011795931736855664,0.4156778035243584,0.09984212990213073,0.6091714119950187,1,0,-18.294793613315857
91,A,0.2966120371867145,0.0899828049940856,0.21877271750659033,0.48997015522252935,0.14864160385560204,0.3613882409218686,0.16756243650707914,0.7870059372800648,0.02431281013597108,0.5390638817643448,0.12050349917966943,0.6487270376840946,1,0,-0.9494365733038777
