rep,scenario,path,occ,s2_family,s2_era,s2_unique,share_family,share_era,share_unique,bias_pp_family,bias_pp_era,era_boundary,ranking_ok,converged
28,B,lpm,d2,0.0052343738562253845,0.020892813400316037,0.014669786102318807,0.12830299468988893,0.5121167498514584,0.3595802554586526,-7.169700531011109,1.2116749851458386,0,1,1
28,B,glmm,d2,0.09061985360813328,0.42335342140418347,0.16894433429659655,0.13269514854044712,0.619918736364993,0.24738611509455996,-6.7304851459552895,11.991873636499296,0,1,1
29,B,lpm,d2,2.061153622438558e-09,0.03881786284739138,0.027397308294292468,3.1128116453378584e-08,0.5862381833311877,0.4137617855406958,-19.999996887188356,8.623818333118772,0,1,1
29,B,glmm,d2,6.154882950791502e-06,0.944966200841076,0.5579062534138625,4.095395937747884e-06,0.6287708102939505,0.37122509431011175,-19.99959046040623,12.877081029395054,0,1,1
0,C,lpm,d2,2.061153622438558e-09,0.0151220269733802,0.04869528029176754,3.229772054318003e-08,0.23695807819255518,0.7630418895097243,-32.999996770227945,-9.304192180744483,0,0,1
0,C,glmm,d2,6.147685049874135e-06,6.914399817248008e-13,1.7713606259150556,3.4705884413634175e-06,3.9034263938419494e-13,0.9999965294111682,-32.999652941155865,-32.99999999996096,1,1,0
1,C,lpm,d2,0.011891797489884474,0.009883816687606769,0.02811325483558193,0.23836574621020729,0.19811667177736092,0.5635175820124319,-9.163425378979273,-13.18833282226391,0,1,1
1,C,glmm,d2,6.153434805557389e-06,6.914400556192713e-13,1.0251205396609133,6.002609089195452e-06,6.744922947336065e-13,0.9999939973902364,-32.99939973909108,-32.99999999993255,1,1,0
2,C,lpm,d2,0.018097953361422198,0.02344406443118887,0.011901518625346559,0.3386368974516642,0.43866978127801065,0.22269332127032512,0.8636897451664183,10.866978127801064,0,0,1
2,C,glmm,d2,0.40987668850067804,0.5433832826068724,0.17652260426102717,0.36279253852623883,0.4809627041996114,0.15624475727414971,3.2792538526238815,15.096270419961138,0,0,1
3,C,lpm,d2,0.015672420159824407,0.04745726411367486,0.0118561814079957,0.20900499070576242,0.6328827930753138,0.15811221621892366,-12.09950092942376,30.28827930753138,0,0,1
3,C,glmm,d2,0.38353373853259287,1.0358787592422654,0.12659392212428733,0.24808030134675177,0.6700352248924306,0.08188447376081773,-8.191969865324825,34.00352248924306,0,0,1
4,C,lpm,d2,0.0008684621627237676,0.005762290681874662,0.0320086798082611,0.02247605886261626,0.14912979529600368,0.82839414584138,-30.752394113738372,-18.087020470399633,0,0,1
4,C,glmm,d2,6.148585389265639e-06,6.914399780804555e-13,0.8610941875454541,7.140382056855254e-06,8.02972602689632e-13,0.9999928596171401,-32.999285961794314,-32.9999999999197,1,1,0
5,C,lpm,d2,0.02187785372196776,0.02094441606548133,0.016748049227051337,0.3672609796943058,0.3515914705842536,0.2811475497214406,3.7260979694305805,2.159147058425359,0,1,1
5,C,glmm,d2,0.40992533905764983,0.43877065651979535,0.2707950319338044,0.3661711697403761,0.39193762677600935,0.24189120348361454,3.61711697403761,6.193762677600933,0,0,1
