rep,scenario,s2_family,s2_era,s2_unique,share_family,share_era,share_unique,ci_family_low,ci_family_high,ci_era_low,ci_era_high,ci_unique_low,ci_unique_high,converged,n_convergence_warnings,d_collinearity,d_se_inflation,d_profile_flat,d_non_convergence,detected,silent_ci_covers
44,B,0.9375106491829734,0.17784073044899798,0.2822776972685435,0.6707864516256817,0.1272445839803152,0.2019689643940031,8.75651076269606e-27,0.9999999999999868,8.756510762696068e-27,0.9999999999999858,1.1924726508446645e-14,5.861016143825092e-14,1,0,1,1,1,0,1,0
45,B,0.16449877901116788,0.11488531116858415,0.36444826238824884,0.25549939880319034,0.17843979214519215,0.5660608090516176,8.756510762695929e-27,0.9999999999999833,8.756510762695942e-27,0.9999999999999817,1.5266637235435187e-14,7.572950666803796e-14,1,0,1,1,1,0,1,0
46,B,0.9532279001808014,0.19794742094922618,0.45833440177120766,0.5922473698776746,0.122986160401948,0.28476646972037745,8.75651076269578e-27,0.9999999999999786,8.75651076269579e-27,0.9999999999999768,1.9355456001099713e-14,1.158513203028109e-13,1,0,1,1,1,0,1,0
47,B,0.5631364572693596,0.39287431396555594,0.21424728069206445,0.48120707765443965,0.3357159673617609,0.18307695498379933,8.756510762696176e-27,0.9999999999999898,8.756510762696177e-27,0.999999999999989,9.131202939953141e-15,8.155750760025429e-14,1,0,1,1,1,0,1,0
48,B,0.0763246241668956,0.24239687962650436,0.2716316958377476,0.12928637333478196,0.4105963680351929,0.46011725863002517,8.75651076269608e-27,0.9999999999999876,8.756510762696087e-27,0.9999999999999863,1.1482553083538871e-14,5.649672716100465e-14,1,0,1,1,1,0,1,0
49,B,0.4200488891383809,0.14130896770453863,0.36203543669795524,0.45489705424180354,0.15303226555032748,0.39207068020786906,8.756510762695939e-27,0.999999999999983,8.756510762695942e-27,0.9999999999999816,1.5458884337442074e-14,9.988100975888411e-11,1,0,1,1,1,0,1,0
50,B,0.6301452737086929,0.5099585449398991,0.6591407840283162,0.35022768598064186,0.28342924813067943,0.36634306588867876,8.756510762695452e-27,0.9999999999999695,8.756510762695461e-27,0.9999999999999667,2.7761331473034204e-14,1.3676032078507726e-13,1,0,1,1,1,0,1,0
51,B,0.044026274661824356,0.035436383018981325,0.38185452514563845,0.09543601734511553,0.0768156581592434,0.8277483244956411,8.756510762695907e-27,0.9999999999999825,8.756510762695916e-27,0.9999999999999808,1.5840740967743627e-14,1.0096243271487667e-13,1,0,1,1,1,0,1,0
52,B,0.27129115086090483,0.002463051030587953,0.24897208245626407,0.518992748182568,0.004711932620073388,0.4762953191973585,8.756510762696339e-27,0.9999999999999698,8.756510762696374e-27,0.999999999999987,1.2332605994839135e-14,0.25226411970677265,1,0,1,1,1,0,1,0
53,B,0.016665725913703716,0.6136392781565231,0.21050096459664228,0.019821131788738226,0.7298226951569722,0.2503561730542896,8.756510762696226e-27,0.9999999999999899,8.756510762696229e-27,0.9999999999999878,9.321353184741222e-15,0.01808037924558866,1,0,1,1,1,0,1,0
54,B,0.256455735845642,1.0009886391906995,0.3718000363745908,0.15740777384256932,0.6143882600915839,0.2282039660658467,8.756510762695925e-27,0.9999999999999827,8.756510762695929e-27,0.999999999999981,1.5799698882075032e-14,5.4631617489065405e-08,1,0,1,1,1,0,1,0
55,B,0.3203318851478839,0.6349489952687195,0.26717737004421166,0.26203912078562386,0.5194034193228035,0.21855745989157266,8.75651076269609e-27,0.9999999999999876,8.756510762696091e-27,0.9999999999999865,1.1290414413241735e-14,6.460411858828658e-14,1,0,1,1,1,0,1,0
56,B,0.45288203348514156,0.005713501361899673,0.06928920385816012,0.8579184058170978,0.010823388029579679,0.13125820615332254,1.6766331791816292e-23,0.9999999999748913,4.2303204257390276e-23,0.9999999999999961,3.5193033676777986e-15,0.07592996924664254,1,0,1,1,1,0,1,0
57,B,0.06262534006986878,0.8600774218570718,0.24250814627427655,0.05374592670656167,0.7381302524748998,0.20812382081853842,8.756510762696137e-27,0.9999999999999887,8.756510762696148e-27,0.9999999999999873,1.034884609091215e-14,0.00010185884657925592,1,0,1,1,1,0,1,0
